cod_ibge,qnt_produzida,uf
4315354,39000,RS
4316436,57497,RS
4316451,85360,RS
4316709,322400,RS
4305603,79200,RS
4311270,38840,RS
4312658,94005,RS
4320305,42000,RS
4321006,56700,RS
4321469,26876,RS
4323200,59250,RS
4302006,28800,RS
4308300,15000,RS
4309951,55352,RS
4311254,23288,RS
4312427,28980,RS
4318465,831,RS
4320800,162000,RS
4322152,24180,RS
4300661,56160,RS
4300703,1620,RS
4301404,6300,RS
4306452,4560,RS
4309258,21600,RS
4309407,18900,RS
4310306,360,RS
4310579,15000,RS
4312351,11880,RS
4312757,17500,RS
4312807,2560,RS
4312906,10000,RS
4313300,12250,RS
4314001,5302,RS
4315172,5028,RS
4315206,1200,RS
4318440,7998,RS
4319711,3627,RS
4320404,12960,RS
4322350,10800,RS
4323606,3120,RS
4302303,37800,RS
4303608,1733,RS
4303673,30496,RS
4304622,93600,RS
4307401,95700,RS
4310439,30600,RS
4311122,2088,RS
4311304,167400,RS
4312377,10052,RS
4312617,195000,RS
4314464,27300,RS
4318200,26250,RS
4318622,330,RS
4322509,201840,RS
4305108,893,RS
4305959,792,RS
4307864,3520,RS
4313359,116,RS
4322806,3420,RS
4323309,3094,RS
4304655,206831,RS
4310553,66650,RS
4311130,176720,RS
4311205,355512,RS
4314472,73550,RS
4315321,99000,RS
4317400,171695,RS
4322202,517493,RS
4322376,39600,RS
4302907,109440,RS
4306379,81250,RS
4310538,10602,RS
4311106,33384,RS
4312104,9306,RS
4313037,14407,RS
4316907,167328,RS
4319125,114840,RS
4319406,48600,RS
4319604,214855,RS
4319802,91080,RS
4321493,7595,RS
4323457,39000,RS
4300109,3500,RS
4306700,1820,RS
4308003,6264,RS
4308409,36000,RS
4310751,14673,RS
4313102,35000,RS
4315503,77450,RS
4318432,2100,RS
4320651,18900,RS
4301206,32364,RS
4304200,70200,RS
4307815,43167,RS
4309159,11970,RS
4309571,1320,RS
4309753,3135,RS
4311239,4788,RS
4312153,2340,RS
4314068,15912,RS
4316808,9792,RS
4320263,18966,RS
4320677,3450,RS
4320701,8742,RS
4322533,2574,RS
4322608,14508,RS
4322707,2100,RS
4301008,4332,RS
4302402,1092,RS
4302451,3630,RS
4305587,1650,RS
4305835,84,RS
4306205,11520,RS
4306759,840,RS
4306809,1188,RS
4307807,6012,RS
4308078,2100,RS
4308433,1056,RS
4310363,450,RS
4311403,2448,RS
4312054,1260,RS
4312609,2405,RS
4314159,2310,RS
4315131,90,RS
4315156,288,RS
4315453,648,RS
4315800,7605,RS
4316758,3150,RS
4320453,21,RS
4321303,400,RS
4321451,1692,RS
4321626,878,RS
4322855,7525,RS
4323770,165,RS
4303004,341998,RS
4305132,4290,RS
4313391,18246,RS
4313953,58260,RS
4314027,8592,RS
4314076,26730,RS
4315701,231900,RS
4304689,336,RS
4314803,720,RS
4310108,19,RS
4316006,5,RS
4316956,42,RS
4321204,78,RS
4301107,10260,RS
4301750,2550,RS
4302709,38500,RS
4305355,11875,RS
4308805,37050,RS
4312252,30000,RS
4318408,14850,RS
4322004,3250,RS
4322525,21000,RS
4304606,160,RS
4306767,6000,RS
4309050,4050,RS
4309209,1500,RS
4309308,3412,RS
4313060,26,RS
4313409,495,RS
4314050,150,RS
4314902,1393,RS
4320552,1500,RS
4323002,16758,RS
4301636,81,RS
4304671,22560,RS
4304713,216,RS
4305454,246,RS
4312500,19497,RS
4313508,4800,RS
4313656,24000,RS
4317608,15000,RS
4321352,1452,RS
4321600,8,RS
4300851,32976,RS
4301909,17438,RS
4303509,103600,RS
4305173,459,RS
4305447,56,RS
4306502,4320,RS
4320354,3300,RS
4321105,45360,RS
4300406,162000,RS
4301875,5109,RS
4308656,48897,RS
4310603,130500,RS
4311718,93912,RS
4311759,138000,RS
4315305,1500,RS
4318002,156000,RS
4318101,168000,RS
4322400,7201,RS
4316402,120000,RS
4316972,86400,RS
4317103,165000,RS
4318309,358800,RS
4300034,63000,RS
4301602,96000,RS
4306601,351000,RS
4309654,32550,RS
4311502,113400,RS
4300638,4800,RS
4302808,72000,RS
4304358,57000,RS
